,姓名,生日,aka,性別,職業,婚姻狀態
0,常中天,1965-09-09,None,None,政治人物,0
1,陳麗玲,1969-07-27,None,女,政治人物,1
2,郭冠英,1949-04-22,范蘭欽,男,政治人物,0
3,侯冠群,1965-03-28,None,男,政治人物,1
4,林明正,1978-12-02,None,男,政治人物,0
5,李勝峰,1953-07-10,None,男,政治人物,0
6,潘懷宗,1961-07-02,None,男,政治人物,1
7,邱毅,1956-05-08,None,男,政治人物,2
8,章天賜,1975-08-09,"砍侃,章魚",None,政治人物,1
9,王炳忠,1987-09-01,None,男,政治人物,0
10,侯漢廷,1988-10-30,None,男,政治人物,0
11,李慶元,1958-08-29,None,男,政治人物,0
12,楊世光,1976-10-24,None,男,政治人物,0
13,楊敏華,1958-03-02,None,男,政治人物,0
14,沈采穎,1961-01-07,None,女,政治人物,0
15,蘇恆,1985-10-02,None,女,政治人物,0
16,賀樺,1972-09-04,None,女,政治人物,0
17,趙家蓉,1962-11-11,None,女,政治人物,1
18,陳彥伯,1969-08-21,None,男,政治人物,1
19,黃乃芸,1968-02-10,None,女,政治人物,0
20,陳一新,1950-02-05,None,男,政治人物,0
21,高惠宇,1947-01-21,None,女,政治人物,0
22,郝龍斌,1952-08-22,None,男,政治人物,1
23,謝啟大,1949-02-10,None,女,政治人物,0
24,趙少康,1950-05-06,None,男,政治人物,1
25,李炷烽,1953-05-06,None,None,政治人物,1
26,李慶華,1948-12-03,None,男,政治人物,0
27,錢達,1953-01-11,None,男,政治人物,0
28,吳成典,1957-05-10,None,男,政治人物,0
29,鄭龍水,1959-12-07,None,男,政治人物,0
30,周陽山,1957-08-24,None,男,政治人物,0
31,朱惠良,1950-12-16,None,女,政治人物,0
32,周荃,1956-07-03,None,女,政治人物,0
33,賴來焜,1956-01-25,None,男,政治人物,0
34,赖士葆,1951-06-20,None,男,政治人物,0
